airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,KUL,FFF,ZAZ,CONFIRMED,XX
XX,06.07.2019,UIO,FFF,MEX,CONFIRMED,XX
XX,06.07.2019,BKK,FFF,MAA,CONFIRMED,XX
XX,06.07.2019,BEY,FFF,BRU,CONFIRMED,XX
XX,29.07.2019,MEL,FFF,KHI,CONFIRMED,XX
XX,06.07.2019,HAM,FFF,CAN,CONFIRMED,XX
XX,06.07.2019,TRV,FFF,CEB,CONFIRMED,XX
XX,06.07.2019,SFO,FFF,BLL,CONFIRMED,XX
XX,06.07.2019,HKG,FFF,MED,CONFIRMED,XX
XX,23.01.2020,IKA,FFF,DME,CONFIRMED,XX
XX,06.07.2019,NRT,FFF,MHD,CONFIRMED,XX
XX,06.07.2019,DUS,FFF,GRU,CONFIRMED,XX
XX,06.07.2019,OPO,FFF,EBL,CONFIRMED,XX
XX,06.07.2019,VIE,FFF,IKA,CONFIRMED,XX
XX,06.07.2019,SGN,FFF,TUN,CONFIRMED,XX
XX,06.07.2019,BUD,FFF,ZAZ,CONFIRMED,XX
XX,06.07.2019,SHJ,FFF,EBB,CONFIRMED,XX
XX,06.07.2019,COK,FFF,ZAZ,CONFIRMED,XX
XX,06.07.2019,SAW,FFF,KBP,CONFIRMED,XX
XX,06.07.2019,HND,FFF,PRG,CONFIRMED,XX
XX,25.10.2019,DXB,FFF,YYZ,CONFIRMED,XX
XX,06.07.2019,DAR,FFF,IKA,CONFIRMED,XX
XX,06.07.2019,TPE,FFF,CDG,CONFIRMED,XX
XX,30.10.2019,ORD,FFF,PEW,CONFIRMED,XX
XX,04.03.2020,MST,FFF,PEN,CONFIRMED,XX
XX,16.03.2020,MEL,FFF,MAD,CONFIRMED,XX
XX,06.07.2019,KUL,FFF,ATL,CONFIRMED,XX
XX,06.07.2019,HRE,FFF,GIG,CONFIRMED,XX
XX,06.07.2019,CCJ,FFF,ATH,CONFIRMED,XX
XX,06.07.2019,MRU,FFF,KHI,CONFIRMED,XX
XX,25.10.2019,DEL,FFF,YYZ,CONFIRMED,XX
XX,06.07.2019,VCP,FFF,DXB,CONFIRMED,XX
XX,06.07.2019,OPO,FFF,STN,CONFIRMED,XX
XX,06.07.2019,CGK,FFF,OPO,CONFIRMED,XX
XX,06.07.2019,EBL,FFF,VCE,CONFIRMED,XX
XX,06.07.2019,CMB,FFF,TUN,CONFIRMED,XX
XX,06.07.2019,ABJ,FFF,PNH,CONFIRMED,XX
XX,06.07.2019,CGO,FFF,DEL,CONFIRMED,XX
XX,06.07.2019,LCK,FFF,LUN,CONFIRMED,XX
XX,12.12.2019,RUH,FFF,AGT,CONFIRMED,XX
XX,06.07.2019,NRT,FFF,HEL,CONFIRMED,XX
XX,06.07.2019,LED,FFF,GVA,CONFIRMED,XX
XX,22.09.2019,AMS,FFF,ATL,CONFIRMED,XX
XX,06.07.2019,LLW,FFF,LCA,CONFIRMED,XX
XX,14.11.2019,KRT,FFF,SFO,CONFIRMED,XX
XX,06.07.2019,EBL,FFF,DMM,CONFIRMED,XX
XX,06.07.2019,PNH,FFF,JNB,CONFIRMED,XX
XX,06.07.2019,HKT,FFF,SHJ,CONFIRMED,XX
XX,06.07.2019,SGN,FFF,PRG,CONFIRMED,XX
XX,06.07.2019,LIS,FFF,BKK,CONFIRMED,XX
XX,06.07.2019,LOS,FFF,ICN,CONFIRMED,XX
XX,06.07.2019,TUN,FFF,GIG,CONFIRMED,XX
XX,16.03.2020,MAD,FFF,INC,CONFIRMED,XX
XX,06.07.2019,KUL,FFF,NCE,CONFIRMED,XX
XX,06.07.2019,DAR,FFF,AMM,CONFIRMED,XX
XX,22.07.2019,STN,FFF,CMN,CONFIRMED,XX
XX,06.07.2019,HKT,FFF,MHD,CONFIRMED,XX
XX,25.10.2019,JFK,FFF,OUA,CONFIRMED,XX
XX,06.07.2019,GRU,FFF,HRE,CONFIRMED,XX
XX,06.07.2019,PVG,FFF,HEL,CONFIRMED,XX
XX,06.07.2019,ADD,FFF,CEB,CONFIRMED,XX
XX,06.07.2019,HEL,FFF,VCP,CONFIRMED,XX
XX,06.07.2019,BOM,FFF,JFK,CONFIRMED,XX
XX,06.03.2020,BAH,FFF,LIS,CONFIRMED,XX
XX,25.02.2020,BLL,FFF,SZG,CONFIRMED,XX
XX,06.07.2019,MAA,FFF,MRU,CONFIRMED,XX
XX,06.07.2019,DOH,FFF,COK,CONFIRMED,XX
XX,06.07.2019,BSR,FFF,MNL,CONFIRMED,XX
XX,06.07.2019,MUC,FFF,CKY,CONFIRMED,XX
XX,06.07.2019,AKL,FFF,MAN,CONFIRMED,XX
XX,06.07.2019,COK,FFF,BEY,CONFIRMED,XX
XX,06.07.2019,SCL,FFF,KIX,CONFIRMED,XX
XX,06.07.2019,ALG,FFF,HKG,CONFIRMED,XX
XX,06.07.2019,ICN,FFF,LYS,CONFIRMED,XX
XX,06.07.2019,KAN,FFF,HEL,CONFIRMED,XX
XX,25.02.2020,SZG,FFF,KIX,CONFIRMED,XX
XX,22.07.2019,CHC,FFF,CMN,CONFIRMED,XX
XX,06.07.2019,HEL,FFF,LOS,CONFIRMED,XX
XX,10.01.2020,DSS,FFF,LNZ,CONFIRMED,XX
XX,06.07.2019,HYD,FFF,KHI,CONFIRMED,XX
XX,06.07.2019,EBB,FFF,LCK,CONFIRMED,XX
XX,06.07.2019,HKG,FFF,AGT,CONFIRMED,XX
XX,06.07.2019,LCA,FFF,DEL,CONFIRMED,XX
XX,06.07.2019,AGT,FFF,LHR,CONFIRMED,XX
XX,06.07.2019,OPO,FFF,CJB,CONFIRMED,XX
XX,06.07.2019,SGN,FFF,KUL,CONFIRMED,XX
XX,06.07.2019,CHC,FFF,IKA,CONFIRMED,XX
XX,06.07.2019,DUS,FFF,ATL,CONFIRMED,XX
