airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,04.03.2020,BSL,GGG,PEN,CONFIRMED,XX
XX,06.07.2019,TRV,GGG,SGN,CONFIRMED,XX
XX,06.07.2019,KUL,GGG,MMX,CONFIRMED,XX
XX,06.07.2019,ZAG,GGG,BLQ,CONFIRMED,XX
XX,06.07.2019,CAN,GGG,ABV,CONFIRMED,XX
XX,06.07.2019,MHD,GGG,EBB,CONFIRMED,XX
XX,25.10.2019,SEA,GGG,YYZ,CONFIRMED,XX
XX,29.07.2019,MEL,GGG,BGW,CONFIRMED,XX
XX,06.07.2019,NGO,GGG,GVA,CONFIRMED,XX
XX,06.07.2019,SFO,GGG,EZE,CONFIRMED,XX
XX,06.07.2019,JED,GGG,COK,CONFIRMED,XX
XX,06.07.2019,BEY,GGG,AMD,CONFIRMED,XX
XX,06.07.2019,MCT,GGG,HAM,CONFIRMED,XX
XX,22.09.2019,AMS,GGG,BRU,CONFIRMED,XX
XX,06.07.2019,IAD,GGG,MAA,CONFIRMED,XX
XX,06.07.2019,HYD,GGG,LGW,CONFIRMED,XX
XX,06.07.2019,CMB,GGG,PVG,CONFIRMED,XX
XX,06.07.2019,JNB,GGG,SKT,CONFIRMED,XX
XX,06.07.2019,ATH,GGG,INC,CONFIRMED,XX
XX,16.01.2020,ZRH,GGG,PEW,CONFIRMED,XX
XX,06.07.2019,ABJ,GGG,BOS,CONFIRMED,XX
XX,25.10.2019,JFK,GGG,COK,CONFIRMED,XX
XX,20.03.2020,DFW,GGG,MRU,CONFIRMED,XX
XX,10.01.2020,DUR,GGG,LNZ,CONFIRMED,XX
XX,06.07.2019,DMM,GGG,SEZ,CONFIRMED,XX
XX,06.07.2019,WAW,GGG,JIB,CONFIRMED,XX
XX,06.07.2019,KBP,GGG,LHR,CONFIRMED,XX
XX,16.03.2020,MAD,GGG,MRU,CONFIRMED,XX
XX,06.07.2019,NBO,GGG,JFK,CONFIRMED,XX
XX,06.07.2019,SEA,GGG,SAW,CONFIRMED,XX
XX,06.07.2019,MEX,GGG,SEA,CONFIRMED,XX
XX,06.07.2019,EBB,GGG,MNL,CONFIRMED,XX
XX,04.03.2020,PEN,GGG,KRT,CONFIRMED,XX
XX,06.07.2019,PEW,GGG,BSL,CONFIRMED,XX
XX,06.07.2019,ARN,GGG,PXX,CONFIRMED,XX
XX,23.01.2020,DME,GGG,AMS,CONFIRMED,XX
XX,28.07.2019,MAN,GGG,FRA,CONFIRMED,XX
XX,06.07.2019,MLE,GGG,DAR,CONFIRMED,XX
XX,06.07.2019,BSR,GGG,TUN,CONFIRMED,XX
XX,06.07.2019,BOS,GGG,LYS,CONFIRMED,XX
XX,06.07.2019,CMB,GGG,AGT,CONFIRMED,XX
XX,07.07.2019,GOT,GGG,NCE,CONFIRMED,XX
XX,06.07.2019,HAM,GGG,TUN,CONFIRMED,XX
XX,06.07.2019,NCE,GGG,BGW,CONFIRMED,XX
XX,06.07.2019,CDG,GGG,KUL,CONFIRMED,XX
XX,06.07.2019,CAN,GGG,DUR,CONFIRMED,XX
XX,06.07.2019,SIN,GGG,IST,CONFIRMED,XX
XX,10.01.2020,YYZ,GGG,LNZ,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,ALG,CONFIRMED,XX
XX,06.07.2019,AGT,GGG,NRT,CONFIRMED,XX
XX,06.07.2019,MLE,GGG,PVG,CONFIRMED,XX
XX,25.10.2019,YYZ,GGG,EZE,CONFIRMED,XX
XX,06.07.2019,COK,GGG,WAW,CONFIRMED,XX
